PeopleName,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,,,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3
Abdal,India,33500,Urdu,Islam - Sunni,27.2793,83.0867,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,111252,Abdal,IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,IND
Abe,Cote d’Ivoire,338000,Abé,Christianity - Non-Evangelical Protestant,5.8613,-4.3774,5,Engaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0085,100013,Abe,CIV,IV,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"100,000+",Indigenous,CIV
Abenaki,Canada,2800,French,Christianity - Roman Catholicism,46.0791,-72.8134,4,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,100021,Abnaki-Penobscot,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,CAN
Abidji,Cote d’Ivoire,98000,Abidji,Christianity - Non-Evangelical Protestant,5.65656,-4.58421,5,Engaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0085,100014,Abidji,CIV,IV,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"50,000+",Indigenous,CIV
Abie,Papua New Guinea,1800,Aneme Wake,Christianity - Non-Evangelical Protestant,-9.75911,148.47891,5,Engaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100015,Abie,PNG,PP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,PNG
Abo,Cameroon,22500,Bankon,Christianity - Non-Evangelical Protestant,4.3702,9.6403,4,Engaged,Strenuous,Not Free,Low,High,Level 2: Exercise Increased Caution,A013,C0271,100022,Abo,CMR,CM,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Indigenous,CMR
Abon,Nigeria,2200,Abon,Christianity - Non-Evangelical Protestant,6.988,10.747,4,Engaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100023,Abong,NGA,NI,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"<10,000",Indigenous,NGA
Aborigine Creole,Australia,18000,Kriol,Christianity - Evangelical Protestant,-14.461046,132.261653,6,Engaged,Little,Free,Low,High,Level 1: Exercise Normal Precautions,A010,C0001,100025,Aborigine Creole,AUS,AS,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,AUS
Aborlan Tagbanwa,Philippines,22000,Tagbanwa,Ethnoreligion - Animism,9.4617,118.5545,5,Engaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0072,100026,Aborlan Tagbanwa,PHL,RP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,PHL
Abu-Junuk,Sudan,10500,Undetermined,Islam - Sunni,11.982667,28.961389,0,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,119453,Abu-Junuk,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,SDN
Abua,Nigeria,54500,Abua,Christianity - Non-Evangelical Protestant,4.83057,6.61492,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100028,Abua,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"50,000+",Indigenous,NGA
Abui,Indonesia,29000,Abui,Christianity - Evangelical Protestant,-8.31058,124.58793,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0075,100029,Abui,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,IDN
Abulas,Papua New Guinea,71000,Ambulas,Christianity - Non-Evangelical Protestant,-3.7801,143.05898,5,Engaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100278,Ambulas,PNG,PP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"50,000+",Indigenous,PNG
Abun,Indonesia,4200,Abun,Christianity - Evangelical Protestant,-0.5469,132.0781,6,Engaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,100030,Abun,IDN,ID,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,IDN
Abure,Cote d’Ivoire,107000,Abure,Ethnoreligion,5.21534,-3.64123,5,Engaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0085,100032,Abure,CIV,IV,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"100,000+",Indigenous,CIV
Aburlin Negrito,Philippines,6200,Abellen Ayta,Ethnoreligion - Animism,15.3348,120.5892,6,Engaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0072,100033,"Negrito, Aburlin",PHL,RP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,PHL
Acadian,Canada,126000,French,Christianity - Roman Catholicism,46.092048,-64.801042,2,Engaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A003,C0076,114904,Acadian,CAN,CA,,,,European Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,CAN
Acateco,Guatemala,69500,Akateko,Christianity - Folk Catholicism,15.7042,-91.595,6,Engaged,Strenuous,Partly Free,Low,Low,Level 3: Reconsider Travel,A007,C0136,110785,"Kanjobal, Western",GTM,GT,,,,American Peoples,,2,No Longer Unreached,"50,000+",Indigenous,GTM
Accukattavandlu,India,12000,Telugu,Hinduism,16.998786,81.800167,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117692,Accukattavandlu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Aceh,Indonesia,4800000,Aceh,Islam - Sunni,5.068514,97.255076,1,Engaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0002,100036,Acehnese,IDN,ID,,,,Asian Pacific Rim Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,IDN
Achagua,Colombia,650,Achagua,Ethnoreligion,4.329,-72.362,6,Engaged,Medium,Free,Moderate,Moderate,Level 3: Reconsider Travel,A007,C0201,100037,Achagua,COL,CO,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,COL
Achang,China,37500,Achang,Buddhism - Theravada,24.287,97.836,5,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,100038,Achang,CHN,CH,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,CHN
Achang,Myanmar,39500,Achang,Ethnoreligion - Polytheism,24.2614,97.66964,6,Engaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A014,C0229,100038,Achang,MMR,BM,CH,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,MMR
"Achang, Husa",China,8300,Achang,Buddhism - Mahayana,24.462,97.896,4,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,113977,"Achang, Husa",CHN,CH,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,CHN
Ache,Paraguay,1200,Aché,Ethnoreligion - Animism,-25.58653,-56.46968,6,Engaged,Medium,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A007,C0201,100040,Ache,PRY,PA,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,PRY
Achenese,United States,375,Aceh,Islam - Sunni,39.96584,-75.200357,1,Unengaged,Little,Free,Moderate,High,Caution,A008,C0002,100036,Acehnese,USA,US,,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,USA
Acheron,Sudan,27500,Acheron,Islam - Sunni,10.88266,30.3187,6,Engaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,114498,Acheron,SDN,SU,,,,Northern African and Middle Eastern Peoples,,2,No Longer Unreached,"10,000+",Indigenous,SDN
Achi,Guatemala,170000,Achi,Christianity - Folk Catholicism,15.104635,-90.321099,4,Engaged,Strenuous,Partly Free,Low,Low,Level 3: Reconsider Travel,A007,C0165,102326,"Achi, Cubulco",GTM,GT,,,,American Peoples,,2,No Longer Unreached,"100,000+",Indigenous,GTM
Achipa,Nigeria,11000,Eastern Acipa,Ethnoreligion - Animism,10.71038,6.0105,1,Engaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100041,"Achipawa, Eastern",NGA,NI,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,NGA
Achipawa,Nigeria,11000,Cicipu,Ethnoreligion - Animism,11.04175,5.54073,4,Engaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100047,"Achipawa, Western",NGA,NI,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Indigenous,NGA
Achode,Ghana,16500,Gikyode,Ethnoreligion - Animism,8.39478,0.56975,1,Engaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A013,C0085,100204,Akyode,GHA,GH,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,GHA
Acholi,South Sudan,68000,Acholi,Ethnoreligion,4.129266,32.286857,4,Engaged,Extreme,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0153,100042,Acholi,SSD,OD,UG,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"50,000+",Diaspora,SSD
Acholi,Uganda,2445000,Acholi,Christianity - Roman Catholicism,3.17234,32.67602,1,Unengaged,Strenuous,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0153,100042,Acholi,UGA,UG,,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"1,000,000+",Indigenous,UGA
Acholi,United States,500,Acholi,Ethnoreligion - Animism,43.6951,-70.2911,4,Unengaged,Little,Free,Moderate,High,Caution,A013,C0153,100042,Acholi,USA,US,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
Achual Jivaro,Peru,11000,Achuar-Shiwiar,Ethnoreligion - Animism,-3.5964,-76.6633,5,Engaged,Medium,Partly Free,Moderate,Low,Level 2: Exercise Increased Caution,A007,C0201,100045,Achuar Jivaro,PER,PE,EC,,,American Peoples,,2,No Longer Unreached,"10,000+",Indigenous,PER
Achuar Jivaro,Ecuador,7400,Achuar-Shiwiar,Ethnoreligion - Animism,-2.4955,-77.1957,4,Engaged,Medium,Partly Free,Low,Low,Level 2: Exercise Increased Caution,A007,C0201,100045,Achuar Jivaro,ECU,EC,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,ECU
"Achumawi, Pitt River",United States,1200,English,Christianity - Non-Evangelical Protestant,41.479,-120.484,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,100046,Achumawi,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Acre Yaminahua,Bolivia,250,Yaminahua,Ethnoreligion - Animism,-11.1285,-69.3701,4,Unengaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A007,C0201,110961,"Yaminahua, Jaminawa",BOL,BL,PE,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,BOL
Adabe,Timor-Leste,6400,Atauran,Christianity - Roman Catholicism,-8.22674,125.57573,6,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A008,C0217,100050,Adabe,TLS,TT,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,TLS
Adamawa Fulani,Cameroon,3010000,Adamawa Fulfulde,Islam - Folk,10.657325,14.410148,1,Engaged,Strenuous,Not Free,Low,High,Level 2: Exercise Increased Caution,A013,C0077,103079,"Fulbe, Fulani",CMR,CM,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,CMR
Adamawa Fulani,Nigeria,1725000,Adamawa Fulfulde,Islam - Folk,8.25594,10.77794,1,Engaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0077,103079,"Fulbe, Fulani",NGA,NI,CM,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,NGA
Adangme,Ghana,966000,Dangme,Ethnoreligion,5.9437,0.13243,4,Engaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A013,C0085,102434,Dangme,GHA,GH,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"100,000+",Indigenous,GHA
Adara,Nigeria,142000,Adara,Ethnoreligion - Animism,9.99696,7.45933,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,104379,Adara,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,NGA
Adasen Itneg,Philippines,13500,Adasen,Christianity - Roman Catholicism,17.7296,120.8466,6,Engaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0072,100055,"Itneg, Adasen",PHL,RP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,PHL
Adele,Ghana,17500,Adele,Islam - Folk,8.14834,0.50461,4,Engaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A013,C0085,100059,Adele,GHA,GH,TO,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Indigenous,GHA
Adele,Togo,30000,Adele,Ethnoreligion - Animism,8.1964,0.8054,4,Engaged,Strenuous,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A013,C0085,100059,Adele,TGO,TO,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Indigenous,TGO
Adere,Cameroon,5100,Lidzonka,Christianity - Neo-Pentecostalism,6.7039,10.89556,6,Engaged,Strenuous,Not Free,Low,High,Level 2: Exercise Increased Caution,A013,C0257,100060,Dzodinka,CMR,CM,NI,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"<10,000",Indigenous,CMR
Adi,China,1400,Adi,Ethnoreligion,29.249612,95.171824,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0004,113979,Adi,CHN,CH,IN,,,South Asian Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,CHN
Adi,India,115000,Hindi,Ethnoreligion,28.063922,95.322632,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A014,C0004,113979,Adi,IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,IND
Adi Andhra,India,332000,Telugu,Hinduism,17.32125,82.040714,4,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,111264,"Adi Andhra, Hindu",IND,IN,,,,South Asian Peoples,,2,No Longer Unreached,"100,000+",Indigenous,IND
Adi Dharmi,India,1515000,Hindi,Hinduism - Folk,31.331514,75.578586,4,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,111259,Ad Dharmi,IND,IN,,,,South Asian Peoples,,2,No Longer Unreached,"1,000,000+",Indigenous,IND
Adi Dravida,India,10740000,Tamil,Hinduism,11.939788,79.497506,4,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,111266,"Adi Dravida, Hindu",IND,IN,,,,South Asian Peoples,,2,No Longer Unreached,"10,000,000+",Indigenous,IND
Adi Gallong,India,68500,Galo Adi,Ethnoreligion,28.285363,94.687738,6,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A014,C0004,111267,"Adi, Gallong",IND,IN,,,,South Asian Peoples,,2,No Longer Unreached,"50,000+",Indigenous,IND
Adi Karnataka,India,3300000,Kannada,Hinduism,12.30813,76.290504,4,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,111268,"Adi Karnataka, Hindu",IND,IN,,,,South Asian Peoples,,2,No Longer Unreached,"1,000,000+",Indigenous,IND
Adi Minyong,India,48500,Adi,Ethnoreligion - Animism,27.62812,94.3538,6,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A014,C0004,111269,"Adi, Minyong",IND,IN,,,,South Asian Peoples,,2,No Longer Unreached,"10,000+",Indigenous,IND
Adibasi,Nepal,8700,Nepali,Hinduism,28.13,82.07,1,Engaged,Strenuous,Partly Free,Moderate,High,Level 2: Exercise Increased Caution,A012,C0311,115688,Adibasi,NPL,NP,,,,South Asian Peoples,,1,Engaged yet Unreached,"<10,000",Indigenous,NPL
Adiyan,India,20500,Ravula,Hinduism - Folk,12.181215,75.649705,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0333,111273,Adiyan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Adja,Benin,599000,Aja,Ethnoreligion,7.00083,1.77879,5,Engaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0085,100074,Aja,BEN,BN,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"100,000+",Indigenous,BEN
Adja,Togo,269000,Aja,Ethnoreligion - Animism,7.1479,1.5881,6,Engaged,Strenuous,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A013,C0085,100074,Aja,TGO,TO,BN,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"100,000+",Indigenous,TGO
Adja,South Sudan,325,Gbaya,Ethnoreligion,8.5526,25.6197,1,Unengaged,Extreme,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0203,100169,Ajja,SSD,OD,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,SSD
Adjora,Papua New Guinea,8700,Abu,Christianity - Non-Evangelical Protestant,-4.24027,144.47396,5,Engaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100075,Adjora,PNG,PP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,PNG
Aduge,Nigeria,4200,Aduge,Ethnoreligion - Animism,7.64567,6.13085,6,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0085,100078,Aduge,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,NGA
Adyghe,Iraq,44000,Adyghe,Islam - Sunni,33.365478,44.399184,1,Unengaged,Strenuous,Not Free,High,Very High,Level 4: Do Not Travel,A003,C0061,100079,Adyghe,IRQ,IZ,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,IRQ
Adyghe,Israel,8000,Adyghe,Islam - Sunni,32.721,35.441,1,Unengaged,Little,Free,High,Very High,Other,A003,C0061,100079,Adyghe,ISR,IS,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,ISR
Adyghe,Jordan,185000,Adyghe,Islam - Sunni,32.33163,36.33668,1,Engaged,Medium,Not Free,High,High,Level 2: Exercise Increased Caution,A003,C0061,100079,Adyghe,JOR,JO,RS,,,Central Asian Peoples,,1,Engaged yet Unreached,"100,000+",Diaspora,JOR
Adyghe,Russian Federation,129000,Adyghe,Islam - Sunni,44.594719,40.113917,1,Engaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,100079,Adyghe,RUS,RS,,,,Central Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,RUS
Adyghe,Syria,28000,Adyghe,Islam - Sunni,32.520944,36.479919,1,Unengaged,Strenuous,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,100079,Adyghe,SYR,SY,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,SYR
Adyghe,United States,6700,Adyghe,Islam - Sunni,43.058449,-76.145707,1,Unengaged,Little,Free,Moderate,High,Caution,A003,C0061,100079,Adyghe,USA,US,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,USA
Adyukru,Cote d’Ivoire,162000,Adioukrou,Ethnoreligion,5.38228,-4.52522,5,Engaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0085,100081,Adyukru,CIV,IV,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"100,000+",Indigenous,CIV
Aeka,Papua New Guinea,5500,Aeka,Christianity - Non-Evangelical Protestant,-8.570126,147.971229,5,Engaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100082,Aeka,PNG,PP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,PNG
Aeke,New Caledonia,350,French,Christianity - Roman Catholicism,-21.0735,164.86922,6,Engaged,Medium,Free,Moderate,High,Level 1: Exercise Normal Precautions,A010,C0151,100083,Aeke,NCL,NC,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,NCL
Aeta Negrito,Philippines,50500,Botolan Sambal,Ethnoreligion - Animism,15.3038,120.045,6,Engaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0072,100085,Aeta Negrito,PHL,RP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"50,000+",Indigenous,PHL
Afade,Cameroon,8700,Afade,Islam - Folk,12.05811,14.65978,1,Engaged,Strenuous,Not Free,Low,High,Level 2: Exercise Increased Caution,A013,C0062,100086,Afade,CMR,CM,NI,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"<10,000",Indigenous,CMR
Afade,Nigeria,48500,Afade,Islam - Folk,12.05214,14.60874,1,Engaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0062,100086,Afade,NGA,NI,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,NGA
Afar,Djibouti,347000,Afar,Islam - Sunni,11.504,42.103,1,Engaged,Strenuous,Not Free,Low,Moderate,Level 2: Exercise Increased Caution,A004,C0005,102419,Afar,DJI,DJ,ET,,,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,DJI
Afar,Eritrea,340000,Afar,Islam - Sunni,14.148039,41.08567,1,Unengaged,Extreme,Not Free,Very High,Low,Level 2: Exercise Increased Caution,A004,C0005,102419,Afar,ERI,ER,ET,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"100,000+",Indigenous,ERI
Afar,Ethiopia,2135000,Afar,Islam - Sunni,11.83353,41.08778,3,Engaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A004,C0005,102419,Afar,ETH,ET,,,,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,ETH
Afghan,Belgium,25000,Dari,Islam - Sunni,50.860063,4.347909,1,Engaged,Little,Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A005,C0178,115238,"Afghan, general",BEL,BE,AF,,,Central Asian Peoples,,1,Engaged yet Unreached,"10,000+",Diaspora,BEL
Afghan,Canada,88500,Dari,Islam - Sunni,43.7834,-79.288,2,Engaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A005,C0178,115238,"Afghan, general",CAN,CA,AF,,,Central Asian Peoples,,1,Engaged yet Unreached,"50,000+",Diaspora,CAN
Afghan,France,40000,Dari,Islam - Sunni,48.866907,2.302646,3,Engaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A005,C0178,115238,"Afghan, general",FRA,FR,AF,,,Central Asian Peoples,,1,Engaged yet Unreached,"10,000+",Diaspora,FRA
Afghan,Germany,253000,Dari,Islam - Sunni,53.575129,10.047306,2,Engaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A005,C0178,115238,"Afghan, general",DEU,GM,AF,,,Central Asian Peoples,,1,Engaged yet Unreached,"100,000+",Diaspora,DEU
